1	1.0532	0.007733	1.247	0.779	0.7012	0.6352	1.0072	0.1416	0.1034	0.100699
0.9493	1	0.73419	1.1839	0.7395	0.6657	0.603	0.9561	0.1344	0.0981	0.0956
129.3	136.18	1	161.236	100.703	90.671	82.129	130.211	18.3013	13.3644	13.0194
0.8017	0.84458	0.6201	1	0.6245	0.56229	0.5093	0.8075	0.1135	0.0829	0.0808
1.2839	1.35221	0.0099265	1.6009	1	0.9003	0.8155	1.2927	0.1817	0.1327	0.1293
1.4257	1.50185	1.1026	1.7782	1.1105	1	0.9058	1.4358	0.2018	0.1474	0.1436
1.5739	1.6579	0.01217	1.9629	1.2259	1.1038	1	1.5855	0.2228	0.1627	0.1585
0.9929	1.0458	0.7678	1.2382	0.7733	0.6963	0.6307	1	14.0528	10.2627	9.9981
7.0644	7.4409	5.4624	8.8094	5.502	4.9536	4.4873	7.1143	1	0.7303	0.71145
9.6707	10.1859	7.4788	12.0587	7.5316	6.78092	6.1418	9.739	1.3686	1	0.9739
9.9264	10.4553	7.6768	12.3776	7.7307	6.9603	6.3042	9.995	1.4047	1.026	1
